subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
7,3,v2,1,new,zorp,yes,FALSE,zorp,new,7/8/19,12:12,8744,1,left,right
7,3,v2,2,,gade,yes,FALSE,gade,nomodifier,7/8/19,12:12,3978,1,left,right
7,3,v2,3,,sprock,yes,TRUE,sprock,nomodifier,7/8/19,12:12,10886,2,right,right
7,3,v2,4,new,wug,yes,TRUE,wug,new,7/8/19,12:12,5051,1,left,left
7,3,v2,5,,blicket,no,TRUE,blicket,nomodifier,7/8/19,12:12,5500,2,right,right
7,3,v2,6,new,boti,no,TRUE,boti,new,7/8/19,12:12,9452,1,left,left
7,3,v2,7,,koba,no,TRUE,koba,nomodifier,7/8/19,12:12,4100,1,left,left
7,3,v2,8,new,toma,no,TRUE,toma,new,7/8/19,12:12,2387,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
8,3,v2,1,,koba,no,TRUE,koba,nomodifier,7/8/19,12:43,12442,2,right,right
8,3,v2,2,,sprock,yes,TRUE,sprock,nomodifier,7/8/19,12:43,9204,1,left,left
8,3,v2,3,new,toma,no,TRUE,toma,new,7/8/19,12:43,6698,2,right,right
8,3,v2,4,new,wug,yes,TRUE,wug,new,7/8/19,12:43,4722,1,left,left
8,3,v2,5,,blicket,no,TRUE,blicket,nomodifier,7/8/19,12:43,5540,1,left,left
8,3,v2,6,new,boti,no,TRUE,boti,new,7/8/19,12:43,6654,1,left,left
8,3,v2,7,,gade,yes,FALSE,gade,nomodifier,7/8/19,12:43,6243,2,right,left
8,3,v2,8,new,zorp,yes,TRUE,zorp,new,7/8/19,12:43,5191,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
9,5,v2,1,,koba,no,FALSE,koba,nomodifier,7/8/19,12:48,6241,1,left,right
9,5,v2,2,,blicket,no,FALSE,blicket,nomodifier,7/8/19,12:48,8563,2,right,left
9,5,v2,3,new,toma,no,FALSE,toma,new,7/8/19,12:48,3283,1,left,right
9,5,v2,4,new,zorp,yes,FALSE,zorp,new,7/8/19,12:48,6306,2,right,left
9,5,v2,5,,gade,yes,TRUE,gade,nomodifier,7/8/19,12:48,12419,1,left,left
9,5,v2,6,new,boti,no,FALSE,boti,new,7/8/19,12:48,2557,1,left,right
9,5,v2,7,,sprock,yes,TRUE,sprock,nomodifier,7/8/19,12:48,7532,2,right,right
9,5,v2,8,new,wug,yes,TRUE,wug,new,7/8/19,12:48,5875,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
10,6,v4,1,,sprock,no,FALSE,sprock,nomodifier,7/8/19,12:12,17186,1,left,right
10,6,v4,2,new,boti,yes,TRUE,boti,new,7/8/19,12:12,5854,1,left,left
10,6,v4,3,new,toma,yes,TRUE,toma,new,7/8/19,12:12,3478,2,right,right
10,6,v4,4,new,wug,no,TRUE,wug,new,7/8/19,12:12,4332,2,right,right
10,6,v4,5,,gade,no,TRUE,gade,nomodifier,7/8/19,12:12,8229,2,right,right
10,6,v4,6,,koba,yes,TRUE,koba,nomodifier,7/8/19,12:12,20869,1,left,left
10,6,v4,7,,blicket,yes,TRUE,blicket,nomodifier,7/8/19,12:12,8259,2,right,right
10,6,v4,8,new,zorp,no,FALSE,zorp,new,7/8/19,12:12,4555,1,left,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
11,4,v1,1,,zorp,no,FALSE,zorp,nomodifier,7/8/19,12:59,9303,1,left,right
11,4,v1,2,,boti,yes,TRUE,boti,nomodifier,7/8/19,12:59,6729,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
11,4,v1,3,new,gade,no,TRUE,gade,new,7/8/19,12:59,14696,2,right,right
12,4,v4,1,new,toma,yes,TRUE,toma,new,7/8/19,13:24,21499,1,left,left
11,4,v1,4,,toma,yes,TRUE,toma,nomodifier,7/8/19,12:59,14900,2,right,right
